;// Name;; Vorname;;Geburtsjahr;;Platz;;Partei;;;;Land;;;;;;Wkr;;;
AAAA;Aßmann;BBBB;Helma;CCCC;1939;DDDD;5;EEEE;BüSo;FFFF;2005;ZZZZ;BE;GGGG;2005;HHHH;BüSo;IIII;85;JJJJ;2005;FINEFINE
AAAA;Abdelwahab;BBBB;Aly;CCCC;1947;DDDD;0;EEEE;OHNE PARTEI;FF11;;;;;;;;IIII;83;JJJJ;2005;FINEFINE
AAAA;Abler;BBBB;Eugen;CCCC;1952;DDDD;17;EEEE;CDU;FFFF;2005;ZZZZ;BW;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Ach;BBBB;Dominik;CCCC;1980;DDDD;0;EEEE;GRÜNE;FF11;;;;;;;;IIII;255;JJJJ;2005;FINEFINE
AAAA;Ach;BBBB;Edith;CCCC;1949;DDDD;2;EEEE;Tierschutz;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;Tierschutz;II11;;;2005;FINEFINE
AAAA;Achminow;BBBB;Alexander;CCCC;1960;DDDD;8;EEEE;CDU;FFFF;2005;ZZZZ;SN;GGGG;2005;HHHH;CDU;IIII;154;JJJJ;2005;FINEFINE
AAAA;Ackermann;BBBB;Jens;CCCC;1975;DDDD;2;EEEE;FDP;FFFF;2005;ZZZZ;ST;GGGG;2005;HHHH;FDP;IIII;70;JJJJ;2005;FINEFINE
AAAA;Ackermann;BBBB;Thomas;CCCC;1967;DDDD;18;EEEE;GRÜNE;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;GRÜNE;II11;;;2005;FINEFINE
AAAA;Adam;BBBB;Hans-Martin;CCCC;1955;DDDD;7;EEEE;Die PARTEI;FFFF;2005;ZZZZ;HH;GGGG;2005;HHHH;Die PARTEI;II11;;;2005;FINEFINE
AAAA;Adam;BBBB;Ulrich;CCCC;1950;DDDD;3;EEEE;CDU;FFFF;2005;ZZZZ;MV;GGGG;2005;HHHH;CDU;IIII;16;JJJJ;2005;FINEFINE
AAAA;Adamek;BBBB;Bernhard;CCCC;1950;DDDD;0;EEEE;NPD;FF11;;;;;;;;IIII;142;JJJJ;2005;FINEFINE
AAAA;Adams;BBBB;Andreas;CCCC;1966;DDDD;0;EEEE;DIE LINKE;FF11;;;;;;;;IIII;202;JJJJ;2005;FINEFINE
AAAA;Adams;BBBB;Dirk;CCCC;1968;DDDD;18;EEEE;GRÜNE;FFFF;2005;ZZZZ;TH;GGGG;2005;HHHH;GRÜNE;II11;;;2005;FINEFINE
AAAA;Adasch;BBBB;Thomas;CCCC;1965;DDDD;42;EEEE;CDU;FFFF;2005;ZZZZ;NI;GGGG;2005;HHHH;CDU;II11;;;2005;FINEFINE
AAAA;Addicks;BBBB;Dr. Karl;CCCC;1950;DDDD;1;EEEE;FDP;FFFF;2005;ZZZZ;SL;GGGG;2005;HHHH;FDP;IIII;296;JJJJ;2005;FINEFINE
